Country,Channel,URL,Product_Name
US,Amazon,https://www.amazon.com/Samsung-Wireless-Bluetooth-Optimized-Translation/dp/B0G1PJLWLZ/ref=sr_1_1?crid=903ACEVR2LXD&dib=eyJ2IjoiMSJ9.nWLW12nVSqwb6Tu05_yo7yXkEydaX64wn6ucfW06m5KtLzvr08biCM49pIP_BH6no-5aHC5uivwOKb8BRSg1Bg5Ypy28EzvEVY9nRIOSfbGQi_KDin9FZIcRwcoEZFCeiqVX2Cy94GvS6C4s0a2WK9HCj4pT4PurGYdD_hh_7Z69dLj7gVTlvGRkYS9RncJYmCJG5-ZjR1oSeIfS_x8eFPfIayNotpG4xUz-JzVIjoo.bJNoyouiouXFEQgi2OKmrV00Sipal9V5KIEqpkM74as&dib_tag=se&keywords=buds%2Bpro%2B4&qid=1773293197&sprefix=buds%2Bpro%2B4%2Caps%2C305&sr=8-1&th=1,Buds4 Pro
US,Samsung.com,https://www.samsung.com/us/audio-sound/galaxy-buds4-pro/buy/galaxy-buds4-pro-pink-gold-sku-sm-r640nzdaxar/,Buds4 Pro
UK,Currys,https://www.currys.co.uk/products/samsung-galaxy-buds4-pro-wireless-bluetooth-noisecancelling-earbuds-black-10299058.html,Buds4 Pro
UK,Amazon,https://www.amazon.co.uk/Samsung-Wireless-Bluetooth-Full-Spectrum-Extended/dp/B0G58RTG6H/ref=sr_1_1_sspa?crid=RIPRQR7LPWQV&dib=eyJ2IjoiMSJ9.9hRC9iZuZbBSF-CibK3FJmnt8EnqgMVKEHkQerZDoV-I5BMGkU-0VP8-6V58tNDB_NKkR-TULQ-Gpar-ouXxUrbCTSofiSooKAHXRvvyBEasZFMGcTtXDBB_mXFdJPFmX7dw0FfeeHlSh7lwJxHjHldSFd3SjaI_KTBKQZ6IELeXWlVeChqFYiT2njAhvsANCFakj9DnZyrjWfwFmo-1rnnCAaxcHg1IU6ztMRCm5Ek.DsD_Z5Dqt5zJa-v3d4-tcx8NnCpzyV0RiqAKpPppzTs&dib_tag=se&keywords=buds%2B4%2Bpro&qid=1773708419&sprefix=buds%2B4%2Bpro&aps%2C940&sr=8-1-spons&aref=xEeVW516xa&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,Buds4 Pro
UK,Samsung.com,https://www.samsung.com/uk/audio-sound/all-audio-sound/,Buds4 Pro
DE,Amazon,https://www.amazon.de/-/en/Samsung-Bluetooth-Headphones-Cancelling-Earphones/dp/B0G58CDZN5/ref=sr_1_1?crid=1PJK62ZXLSBCQ&dib=eyJ2IjoiMSJ9.Tzin1ybPNCiaLEhWavSTkAQKfU1xRQztnXEAKonc-FFFtRu-B21S2akZiYzStqUpQagbnS0d--wFKVXWg-Ng1oEiDFDFXepT_YKz1kqz70Oa1z0WuBhHTLE2PDI2sfg--8yDVVoiWdqEHZKfvwr0F9ZnoSUGqjScrRdVRcUYsC08ahPYBERbYCBFT2UQLw2meTO09IBf3h4e82oD4k9XrW2rSOyCO1wA5Ts_TSKX_0o.ltRu5c1VPAJ6pH9eEvqLL-Bfvs2EwOwBNW8IQzNew6c&dib_tag=se&keywords=samsung%2Bbuds4%2Bpro&qid=1773275374&sprefix=samsung%2Bbud%2B4%2Bpro%2Caps%2C348&sr=8-1&th=1&currency=EUR,Buds4 Pro
DE,Samsung.com,https://www.samsung.com/de/audio-sound/galaxy-buds4-pro/buy/?modelCode=SM-R640NZWADBT,Buds4 Pro

US,Amazon,https://www.amazon.com/Apple-Cancellation-Translation-Headphones-High-Fidelity/dp/B0FQFB8FMG/ref=sr_1_1?crid=38VBXMNBDG6ED&dib=eyJ2IjoiMSJ9.8OTf8ffnsj1BWakdbz79Y-_UxXRnM1g4sjqdSmKxBst8HTegvMDGhl4ziNixDp9Hxwan5kVaH2-pT4bac-7h_0h8HNvXE4aYN8DQoeOxdwUfyXVP3u-hXWiB2x86ZHCLpSIeF2eDM0jqt8oKvygu5GSKBDhWmGgv12L0q0nIod3k-bvNhowiTt685yH8Mrv9qzg9d7jSNOlNA9_kTqHHw0-LMAHdnWWvPFidoWmAG8c._0Jnq_Q7Dpbh29O-Bm7789dAtwaOVVPfz6vAaQJJ-8o&dib_tag=se&keywords=apple+airpod+pro3&qid=1773276335&sprefix=apple+airpod+pro3%2Caps%2C334&sr=8-1,AirPods Pro 3
UK,Currys,https://www.currys.co.uk/products/apple-airpods-pro-3-white-10291174.html?searchTerm=airpod3%20pro,AirPods Pro 3
UK,Amazon,https://www.amazon.co.uk/Apple-Cancellation-Translation-Headphones-High%E2%80%91Fidelity/dp/B0FQF32239/ref=sr_1_1?crid=1DFLIZ8Q1X8VV&dib=eyJ2IjoiMSJ9.D4cDARTAvHZ6RYEz8OrzJUir-nl8i0B7NuV1KZ7uTRCAt3iFVnzp1aEYr3vb19ppGzhZeDS9fek9WMrfuB7kojPeaGMec-dEZElXR2HtoCCafxNbG2mZaCFPiSJvdgK_eX4NjfDbgJjr1rZCO0XTFbqJULVHdVvXwdvkcVOmw63fZcop8dvA2v_6L3Pq_AH8sd5AJ_oYqjDYuNTGmUZCvnaI5xCmXrgpz0p0W0gQAEo.9J45NMnb9O79xAYdz-AVE9kDaH53GSAij0fkw33-r_8&dib_tag=se&keywords=apple+airpod+pro3&qid=1773276575&sprefix=apple+airpod+pro%2Caps%2C583&sr=8-1&currency=GBP,AirPods Pro 3
DE,Amazon,https://www.amazon.de/Apple-Wireless-Headphones-Cancellation-Bluetooth/dp/B0FQF32239/ref=sr_1_1_sspa?crid=1H43Z3I9SBIHX&dib=eyJ2IjoiMSJ9.D4cDARTAvHZ6RYEz8OrzJforFHy7YqYcMXXqdjf42VN-TRl6nTCr0MxO2Q_07CuJ209M9hb8QjTfpT8HakEHy7T89Pt7YR9SrHGLsrzck1_dhaGjQHeUBsiJZJcHmo7tDYzmRfclOr9xYJhiwvO9c1FlYqt7Dgc7WrrXW1prYXTZGrm0F_LmYGiA2H5v3LXmV3TL7k5WPDDB4fhNEhUpVSZldLbOyPm-5eVPGtULf5U.KBKaeLj566xQPWl7kdN2rua-ISF0KdJEX2CdBx2I1YU&dib_tag=se&keywords=airpods+pro+3&qid=1773276774&sprefix=airpod%2Caps%2C381&sr=8-1-spons&aref=AA56BBQQOA&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1&currency=EUR,AirPods Pro 3
